dataset,variant,metric,recomputed_mean,recorded_mean,d_mean,recomputed_std,recorded_std,d_std
yale,full,acc,0.755757575757576,0.755757575757576,0,0.0363157579539802,0.0363157579539802,0
yale,full,recall,0.705333333333333,0.705333333333333,0,0.0303601375770874,0.0303601375770874,0
yale,full,precision,0.570003772242653,0.570003772242653,0,0.0469815226278107,0.0469815226278107,0
yale,full,fscore,0.629322706724919,0.629322706724919,0,0.0336799591385563,0.0336799591385563,0
yale,no_gradient,nmi,0.825648858443671,0.825648858443671,0,0.0255643604095415,0.0255643604095415,0
yale,no_gradient,ari,0.619228879639394,0.619228879639394,0,0.0458489864332774,0.0458489864332774,0
yale,no_gradient,acc,0.76030303030303,0.76030303030303,0,0.0521529149531295,0.0521529149531295,0
yale,no_gradient,recall,0.712969696969697,0.712969696969697,0,0.0350944926041814,0.0350944926041814,0
yale,no_gradient,precision,0.589128866339133,0.589128866339133,0,0.0493880626933875,0.0493880626933875,0
yale,no_gradient,fscore,0.644730180517567,0.644730180517567,0,0.0423197461187931,0.0423197461187931,0
yale,no_l2log,nmi,0.227632996193051,0.227632996193051,0,0.0291276100320841,0.0291276100320841,0
yale,no_l2log,ari,0.0216077453833135,0.0216077453833135,0,0.0132589629619665,0.0132589629619665,0
yale,no_l2log,acc,0.181212121212121,0.181212121212121,0,0.0158407814262275,0.0158407814262275,0
yale,no_l2log,recall,0.563393939393939,0.563393939393939,0,0.0522769085076231,0.0522769085076231,0
yale,no_l2log,precision,0.0720087040583808,0.0720087040583808,0,0.00692551351553507,0.00692551351553507,0
yale,no_l2log,fscore,0.127285311315168,0.127285311315168,0,0.00969226211128528,0.00969226211128528,0
yale,tnn,nmi,0.820881066297532,0.820881066297532,0,0.0324913314743095,0.0324913314743095,0
yale,tnn,ari,0.637021861473062,0.637021861473062,0,0.0474820492464397,0.0474820492464397,0
yale,tnn,acc,0.765757575757576,0.765757575757576,0,0.0614069884471497,0.0614069884471497,0
yale,tnn,recall,0.712787878787879,0.712787878787879,0,0.0446497168656303,0.0446497168656303,0
yale,tnn,precision,0.616485443201893,0.616485443201893,0,0.0475531202783247,0.0475531202783247,0
yale,tnn,fscore,0.660792620550425,0.660792620550425,0,0.0441688413582332,0.0441688413582332,0
