dataset,lambda1,lambda2,gamma,nmi,converged,iterations,eig_K,eig_Kp1,eigengap,diagdom,meanDiag,meanOff,svr,sv1,sv2,froZ,stopping_reason
yale,0.1,0.0001,6,0.80630549,1,32,0.2024681853,0.1959591188,0.006509066492,12.87000926,0.1691929081,0.01314629265,0.9479270617,1.172416934,1.111365739,4.278612781,tolerance
yale,0.1,0.0001,12,0.73812408,1,32,0.1966516577,0.1902706275,0.006381030254,10.4635748,0.1254728134,0.01199139068,0.9268102923,1.104443931,1.023610003,3.706242612,tolerance
yale,0.1,0.0001,24,0.71748708,1,32,0.1935200711,0.1841545358,0.009365535339,10.039519,0.1066575189,0.01062376782,0.9758368592,1.024692054,0.9999322759,3.258968583,tolerance
yale,0.1,0.001,6,0.77069009,1,32,0.2267558043,0.2172328859,0.009522918453,10.04725173,0.1058247533,0.01053270648,0.944130985,1.100059965,1.038600699,3.440182886,tolerance
yale,0.1,0.001,12,0.71608715,1,32,0.2169549235,0.2017909024,0.01516402115,9.047559749,0.08406888345,0.009291884859,0.9812147149,1.019446257,1.000295668,3.006556161,tolerance
yale,0.1,0.001,24,0.76458456,1,32,0.1876348652,0.1743381353,0.01329672983,8.259359197,0.06869770148,0.00831755828,0.9090390406,1.000038945,0.9090744427,2.551522947,tolerance
yale,0.1,0.01,6,0.68001495,1,33,0.04723786237,0.02899204174,0.01824582062,4.404063593,0.03832036026,0.008701136904,0.9865134249,1.013840148,1.000166917,2.325051457,tolerance
yale,0.1,0.01,12,0.65286685,1,33,0.03396225123,0.02075147945,0.01321077178,4.102217355,0.03092225405,0.007537936529,0.8601244088,1.000943126,0.8609356144,1.947733535,tolerance
yale,0.1,0.01,24,0.66557834,1,34,0.01863531828,0.008722477253,0.009912841027,3.457200003,0.02360452098,0.006827641143,0.7184645829,1.000000755,0.7184651251,1.631845975,tolerance
yale,0.1,0.05,6,0.66343526,1,36,0.009003856483,0.003556068284,0.005447788199,3.620341469,0.02962663119,0.008183380337,0.9724092745,1.000998212,0.9733799448,2.08438852,tolerance
yale,0.1,0.05,12,0.64708775,1,36,0.004875590536,-0.0001166855133,0.004992276049,3.387870098,0.0242987143,0.007172268592,0.8206444903,1.000728145,0.8212420381,1.761262157,tolerance
yale,0.1,0.05,24,0.62518040,1,37,0.002388232236,-0.001641080905,0.004029313141,2.913945405,0.01931234447,0.006627558784,0.6846488508,0.9999150862,0.6845907146,1.512367536,tolerance
yale,0.1,0.1,6,0.65152015,1,37,0.007786013077,0.003337910395,0.004448102682,3.507544892,0.02810710791,0.008013328063,0.9582968207,1.000810579,0.959073596,2.024004529,tolerance
yale,0.1,0.1,12,0.62940075,1,38,0.003914652009,-0.0002182693708,0.00413292138,3.272384074,0.02313057475,0.007068416855,0.8075776176,1.00067685,0.8081242262,1.716886706,tolerance
yale,0.1,0.1,24,0.62743309,1,38,0.001087801602,-0.002201848538,0.003289650141,2.813517105,0.01851036127,0.006579082543,0.674226507,0.9998884296,0.6741512833,1.482830772,tolerance
yale,0.5,1e-05,6,0.85809018,1,31,0.191681317,0.1849428342,0.006738482807,22.26978045,0.3210416548,0.01441602244,0.9914935156,1.153774735,1.143960168,5.821504351,tolerance
yale,0.5,1e-05,12,0.80819073,1,31,0.196231017,0.1949228013,0.001308215683,20.5525223,0.2906649374,0.01414254334,0.9914546968,1.141501344,1.131746869,5.471899999,tolerance
yale,0.5,1e-05,24,0.78927256,1,31,0.2026870812,0.1978396756,0.00484740559,19.91145056,0.2732082016,0.01372116013,0.993555405,1.112410553,1.105241517,5.228908958,tolerance
yale,0.5,0.0001,6,0.85220317,1,31,0.199916159,0.1922776939,0.007638465076,23.03550101,0.3207941649,0.01392607718,0.9920167547,1.144352782,1.135217133,5.779358638,tolerance
yale,0.5,0.0001,12,0.80232055,1,31,0.2023326508,0.2010435239,0.001289126984,21.12085818,0.2908597703,0.01377120986,0.9948130029,1.133326886,1.127448323,5.440860667,tolerance
yale,0.5,0.0001,24,0.78777057,1,31,0.2075024062,0.2029567665,0.004545639732,20.37917925,0.2733730492,0.01341433067,0.9934900916,1.107141683,1.099934292,5.202197649,tolerance
yale,0.5,0.001,6,0.84987806,1,31,0.245852882,0.2414438104,0.004409071597,24.76334491,0.292716418,0.01182055248,0.9963965839,1.099320614,1.095359305,5.350520429,tolerance
yale,0.5,0.001,12,0.77151929,1,31,0.2475631483,0.2404492497,0.007113898673,23.36835973,0.2762398004,0.01182110356,0.9904173627,1.09794795,1.087426713,5.147720013,tolerance
yale,0.5,0.001,24,0.77935372,1,31,0.2488417762,0.240027299,0.008814477206,22.29551245,0.2593491177,0.01163234612,0.9928780061,1.079955673,1.072264235,4.92305647,tolerance
yale,0.5,0.01,6,0.74762555,1,34,0.2706145499,0.2592063721,0.01140817778,18.30840368,0.1641307086,0.008964774399,0.9617228418,1.05390248,1.013562088,3.782894177,tolerance
yale,0.5,0.01,12,0.74806896,1,34,0.2640295758,0.2521877926,0.0118417832,17.06039601,0.1528138808,0.008957229406,0.9591740217,1.053139853,1.010144388,3.642468548,tolerance
yale,0.5,0.01,24,0.74877446,1,34,0.2581904048,0.2467419452,0.01144845959,16.32831962,0.1441806087,0.00883009471,0.9672294873,1.035489552,1.001556029,3.508124192,tolerance
yale,0.5,0.05,6,0.68341406,1,36,0.103586249,0.07661250346,0.02697374555,6.448470958,0.05872112934,0.009106209785,0.9799395125,1.022630506,1.002116039,2.734135458,tolerance
yale,0.5,0.05,12,0.68790401,1,36,0.09942946755,0.07149516019,0.02793430736,6.1553079,0.0552096001,0.008969429473,0.9859503161,1.016278642,1.002000248,2.660181261,tolerance
yale,0.5,0.05,24,0.68405052,1,36,0.09477290397,0.06676623914,0.02800666484,6.006773376,0.05257424602,0.008752493682,0.9943604444,1.001897265,0.9962470094,2.569040459,tolerance
yale,0.5,0.1,6,0.67048122,1,38,0.06525415391,0.04889183215,0.01636232176,5.287904969,0.04744406664,0.008972185945,0.992987311,1.008598797,1.001525807,2.570190697,tolerance
yale,0.5,0.1,12,0.66756977,1,38,0.06013835913,0.04571440088,0.01442395825,5.133141187,0.04525956533,0.008817128475,0.9969832351,1.003155481,1.000129196,2.502604,tolerance
yale,0.5,0.1,24,0.66705399,1,37,0.05629931284,0.04283996318,0.01345934966,5.044479609,0.0433801192,0.008599523155,0.9803401266,1.001735311,0.9820413215,2.417180626,tolerance
yale,1,1e-05,6,0.82472714,1,32,0.1840464837,0.1732844457,0.01076203807,24.81920712,0.36534318,0.01472017935,0.9870487777,1.13394419,1.119258227,6.36397799,tolerance
yale,1,1e-05,12,0.82312870,1,32,0.1883180372,0.1804879741,0.007830063078,23.39585735,0.3405988024,0.01455808168,0.9889090117,1.126969729,1.11447052,6.08440787,tolerance
yale,1,1e-05,24,0.82948680,1,32,0.1914497268,0.1838643707,0.007585356115,22.82282163,0.3260022184,0.01428404531,0.994043923,1.108266659,1.101665738,5.889431516,tolerance
yale,1,0.0001,6,0.82183567,1,33,0.1908983695,0.1797125295,0.01118584,25.57221409,0.365521327,0.01429369103,0.9884576797,1.125490963,1.112500186,6.335400927,tolerance
